doc_id,sent_id,pair_id,e1,e2,ddi,source_type,file_name
DDI-DrugBank.d519,DDI-DrugBank.d519.s3,DDI-DrugBank.d519.s3.p0,DDI-DrugBank.d519.s3.e0,DDI-DrugBank.d519.s3.e1,false,drugbank,Abarelix_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p0,DDI-DrugBank.d297.s1.e0,DDI-DrugBank.d297.s1.e1,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p1,DDI-DrugBank.d297.s1.e0,DDI-DrugBank.d297.s1.e2,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p2,DDI-DrugBank.d297.s1.e0,DDI-DrugBank.d297.s1.e3,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p3,DDI-DrugBank.d297.s1.e0,DDI-DrugBank.d297.s1.e4,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p4,DDI-DrugBank.d297.s1.e1,DDI-DrugBank.d297.s1.e2,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p5,DDI-DrugBank.d297.s1.e1,DDI-DrugBank.d297.s1.e3,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p6,DDI-DrugBank.d297.s1.e1,DDI-DrugBank.d297.s1.e4,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p7,DDI-DrugBank.d297.s1.e2,DDI-DrugBank.d297.s1.e3,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p8,DDI-DrugBank.d297.s1.e2,DDI-DrugBank.d297.s1.e4,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s1,DDI-DrugBank.d297.s1.p9,DDI-DrugBank.d297.s1.e3,DDI-DrugBank.d297.s1.e4,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p0,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e1,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p1,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e2,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p2,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e3,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p3,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e4,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p4,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e5,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p5,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e6,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p6,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e7,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p7,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e8,false,drugbank,Abatacept_ddi.xml
DDI-DrugBank.d297,DDI-DrugBank.d297.s2,DDI-DrugBank.d297.s2.p8,DDI-DrugBank.d297.s2.e0,DDI-DrugBank.d297.s2.e9,false,drugbank,Abatacept_ddi.xml
